nama pengguna,produk,review,rating,waktu transaksi
mutiazah9229,SPLIT IPHONE SEMARANG,,5,2023-05-12 10:22
afrizaladhixsa,SPLIT IPHONE SEMARANG,,5,2023-05-10 19:07
t*****t,Split iPhone,,5,2023-05-08 10:39
nursahlanmaulana,Split iPhone,,5,2023-05-07 14:23
bagasadin_,Split iPhone,,5,2023-05-06 15:21
miftanurk,Split iPhone,,5,2023-05-04 05:17
khantsaaisya,Split iPhone,,5,2023-04-29 18:36
nurianti1212,Split iPhone,,5,2023-04-26 17:03
elangtanujaya,Split iPhone,,5,2023-04-22 14:49
anggisutejamw,Aksesoris (Charger & Earphone),,5,2023-04-20 19:30
bentearsolutions,Tempered Glass For iPhone All Type,,5,2023-04-20 04:09
kiannaila,Split iPhone,,5,2023-04-19 17:35
pebizyo,Aksesoris (Charger & Earphone),,5,2023-04-18 14:23
yuyun_ad,Split iPhone,,5,2023-04-17 10:01
trihid123,Split iPhone,,5,2023-04-17 09:32
viamarga1903,Aksesoris (Charger & Earphone),,5,2023-04-16 12:32
yennora,Split iPhone,,5,2023-04-15 14:26
aldidwi00,Split iPhone,,5,2023-04-11 18:29
hanifahadela6,Split iPhone,,5,2023-04-06 14:40
etyherawati12,Split iPhone,,5,2023-04-04 21:41
habibprayogo,Tempered Glass For iPhone All Type,,5,2023-04-03 16:08
nisa2903,Leather Case Silicone For Apple IPhone Original,,4,2023-03-31 15:07
arisandi188,iPhone XS 64GB/256GB/512GB Bekas Second Original 100% | NORMAL MULUS FULLSET,Seminggu beili udahh turun banyak banget..,4,2023-03-30 02:02
shidqitaufiq,Aksesoris (Charger & Earphone),,5,2023-03-29 21:00
b*****a,Aksesoris (Charger & Earphone),"dulu perna beli earphone di applehouse langsung di store nya. yg engga harus disaut in bluetooth, kegiling mesin cuci gabisa dipake lagi. aku beli ini, dari segi suara beda jauh. dari bahan cable nya juga beda. don't know why.",3,2023-03-25 11:36
0*****b,Leather Case Silicone For Apple IPhone Original,,5,2023-03-23 21:36
d*****p,Split iPhone,,5,2023-03-23 08:16
anindyaandara_14,Split iPhone,,5,2023-03-20 13:10
w*****r,Split iPhone,,5,2023-03-19 11:09
nurayukhumaidah,Split iPhone,,5,2023-03-12 14:56
bayu.rizky.,Split iPhone,,5,2023-03-09 16:59
w*****a,Split iPhone,,5,2023-03-08 16:38
ayulriz,Split iPhone,,5,2023-03-08 14:07
andi.saputra1992,Split iPhone,,5,2023-03-08 09:32
triwinda30,Split iPhone,,5,2023-02-23 14:45
lestianabertinugraheni,Split iPhone,,5,2023-02-23 14:05
a*****a,Aksesoris (Charger & Earphone),,5,2023-02-19 19:40
vinaaviee095,Split iPhone,,5,2023-02-19 17:40
candrakrismonika,Accessories Charger dan Earphone,,5,2023-02-16 13:05
aminah.olshop,Leather Case Silicone For Apple IPhone Original,,5,2023-02-14 07:24
rafiga1975,Softcase Iphone,,5,2023-02-10 16:51
iqbalmaulana3112,Accessories Charger dan Earphone,,5,2023-02-08 18:07
a*****_,Split iPhone,,5,2023-02-08 11:28
sella_081220,Softcase Iphone,,5,2023-02-07 23:01
menikmurhatini,Split iPhone,,5,2023-02-07 07:15
dangerouswmn,Split iPhone,,5,2023-02-06 20:04
vitafatimatushara,Accessories Charger dan Earphone,,5,2023-02-06 16:07
revitaovilia29,Split iPhone,,5,2023-02-06 12:26
qerpsa7_hu,Split iPhone,,5,2023-02-04 19:22
s*****u,Accessories Charger dan Earphone,,5,2023-02-04 13:52
pujaintanpratiwi,Split iPhone,,5,2023-02-04 11:10
imien37,Split iPhone,,5,2023-02-04 04:49
ncraftt,Aksesoris (Charger & Earphone),,5,2023-02-02 15:29
ncraftt,Tempered Glass For iPhone All Type,,5,2023-02-02 15:29
yanuarjarot,Split iPhone,,5,2023-02-02 12:06
ricoputraa.45,Accessories Charger dan Earphone,,5,2023-02-01 12:09
alifr09,Accessories Charger dan Earphone,,5,2023-01-31 02:05
rikydwi16,Accessories Charger dan Earphone,,5,2023-01-30 15:55
ayudritambunan95,iPhone 7 Plus 32GB/128GB/256GB Bekas Second Original 100% | NORMAL MULUS FULLSET,Packingan kurang aman. Beda packingan pesanan saya sebelumnya,3,2023-01-29 13:33
eka.risma.pratiwi,Split iPhone,,5,2023-01-27 19:27
zeniadinda,Split iPhone,,5,2023-01-27 13:26
rahmadhiasn,Aksesoris (Charger & Earphone),,5,2023-01-25 04:35
mustikajaya_717,Split iPhone,,5,2023-01-24 14:52
fatmawardani45,Aksesoris (Charger & Earphone),,5,2023-01-21 11:51
kagaluhag,SPLIT IPHONE SEMARANG,,5,2023-01-18 21:12
ikawahyutiana,Aksesoris (Charger & Earphone),,5,2023-01-17 17:37
apririokomar,Aksesoris (Charger & Earphone),,5,2023-01-17 10:14
ekafebism,Aksesoris (Charger & Earphone),,5,2023-01-15 23:06
n*****1,Aksesoris (Charger & Earphone),,5,2023-01-14 19:02
risarahmaa0004,Aksesoris (Charger & Earphone),"Packing aman banget,belum dicoba
Moga2 cocok",5,2023-01-14 11:49
risarahmaa0004,Tempered Glass For iPhone All Type,,5,2023-01-14 11:49
nikenfebrianto,Leather Case Silicone For Apple IPhone Original,,5,2023-01-12 00:00
liviasaragih,Leather Case Silicone For Apple IPhone Original,,5,2023-01-11 14:33
waltz_original,Aksesoris (Charger & Earphone),"Fitur Terbaik:kabel original
Sepadan dengan Harga:kualitas asli

rekomendasi buat temen temen yang nyari kabel cas original, tidak menyebabkan dampak negatif pada kualitas batrai",5,2023-01-10 12:57
salwaahrp,Aksesoris (Charger & Earphone),,5,2023-01-09 14:44
vibianarissa,Aksesoris (Charger & Earphone),,5,2023-01-08 09:35
farihahyar19,Aksesoris (Charger & Earphone),,5,2023-01-08 04:06
sophiaananda,Split iPhone,,5,2023-01-06 21:46
zaiarifa,Aksesoris (Charger & Earphone),,5,2023-01-06 11:51
nealin17,Split iPhone,,5,2023-01-06 10:26
nurosid18,Split iPhone,,5,2023-01-06 10:02
k*****i,Aksesoris (Charger & Earphone),,5,2023-01-05 03:20
yasriatir,Aksesoris (Charger & Earphone),mantabbb ada kartu garansinya,5,2023-01-04 17:58
b4398x8808,Aksesoris (Charger & Earphone),,3,2023-01-03 16:37
