nama pengguna,produk,review,rating,waktu transaksi
n*****h,IPhone Xr 256 GB Second Original,"kondisi barangnya mulus bgt, semua fungsi masi berjalan baik sampe skrg, 3utools ijo semua kecuali kamera belakang tp maklum karena second. bh awal dtg 96% sampe skrg 86% (27 mei-6 juni) pdhl pemakaian normal, g prnh dimainin sambil ngecas. sengaja dinilai sesudah seminggu pemakaian, semoga awet:)",4,2022-06-06 07:00
yuli_agustya,Iphone 7 256 GB Second Original,,5,2022-06-06 04:29
viraastiti,iPhone Xr 64 GB Second Original,"Awal beli dapet BH 87% , setelah pemakaian 1 bulan BH turun 85% . Padahal berharap bgt dapet BH 90an . Tapi overall barang bagus ngga ada yg lecet, face id bisa digunakan. Normal semuanya. Penjual fast respon juga. Makasih",4,2022-06-06 02:02
viraastiti,Packing Kayu Dan Custom Box Pengiriman,"Maaf foto tidak sesuai. Packing aman bgt pokoknya. Pengiriman lumayan cepat, respon penjual ramah , makasih seller",5,2022-06-06 01:57
viraastiti,TEMPERED GLASS FOR IPHONE,"Pengiriman lumayan cepat, respon penjual ramah , bagus tg nya, puas beli disini",5,2022-06-06 01:57
apriyanta_sbr,Packing Kayu Dan Custom Box Pengiriman,,5,2022-06-05 17:09
apriyanta_sbr,iPhone 11 64 GB Second Original,Barang nya bagus banget gada licit nya dan mulus banget🥹mudah mudahan awet. Amin. Semua sistem nya bisa digunakan dan adminnya ramah banget. Recokended bakalan jadi langganan,5,2022-06-05 17:09
m*****a,iPhone 11 64 GB Second Original,,5,2022-06-05 15:27
ahonkgagi,iPhone X 64 GB Second Original,Barang mulus bagus dikasih bh 90 mugo2 awt,5,2022-06-05 14:28
dxdf.pipo,Iphone 11 Pro 64 GB SECOND ORIGINAL,"keren unitnya bs pilih sendiri di store, hp bawa pulang dl.. dusnya yg dipaketin.. adminnya super ramah ramah ❤️ thanks jordan wnsb",5,2022-06-05 08:17
t*****n,iPhone 11 64 GB Second Original,"Admin responsif, proses cek hp nya -+ 3 jam sekalian update iOS terbaru jg, pengiriman instan pk grab aman sampe tujuan. Ada lecet dikiit. kesehatan baterai jg wajar dpt yg 86%, yg gk wajar itu kalo bh 100% masa hp second BHnya 100% kalo itu pasti udh diotak Atik. Sejauh ini kualitas juga masih aman",5,2022-06-05 06:55
diahreni_,iPhone Xs 256 GB Second Original,"Tempat jual iphone paling oke si menurut aku, pelayanan oke, fast respon, dan barang dijamin aman sampai ke tangan kita",5,2022-06-04 21:45
dhonkurniawan87,Iphone 7 256 GB Second Original,,5,2022-06-04 11:58
triyogo15_,iPhone 7 32 GB Second Original,"Sangat bagus, jordan corner tidak mengecewakan",5,2022-06-04 05:26
juma2108,Iphone 11 Pro 64 GB SECOND ORIGINAL,Unit mulus dan sejauh ini tidak ada kendala. Namun tidak diberikan segel garansi. Mungkin salesnya lupa. Semoga aman dan tidak ada kendala,5,2022-06-03 19:37
rchmngunawan,iPhone Xr 128 GB Second Original,,4,2022-06-03 17:33
m*****s,iPhone 11 64 GB Second Original,"Penjual ramah, barang original, packing aman dan rapih.",5,2022-06-03 16:00
diny_islamiati,iPhone Xr 128 GB Second Original,,5,2022-06-03 13:52
d*****6,iPhone X 64 GB Second Original,"Bagus. Masih mulus, lecet sedikit dipinggirnya tp masih bagus. Baterai 95%, belum 2 minggu turun 1%, semoga awet stlh ini. 
Ada kendala dicharger tp dari admin langsung tanggap dan kirim ulang yg baru tanpa keluarin biaya lagi. 
Semoga hp nya berkah dan awet aamiin.
Makasih min dan kurir. Sukses min",5,2022-06-03 11:09
d*****t,IPHONE 11 PRO 256 GB SECOND ORI FULLSET,,5,2022-06-03 07:13
m*****a,iPhone 11 64 GB Second Original,"bagus. dapet bh nya 87% mayan laahh. warna ungu kesukaanku.
admin oke. pelayanan oke",5,2022-06-03 05:14
dafaamalia_1.,iPhone Xr 64 GB Second Original,Terima kasih banyak Jordan Corner ! 🙏🏻❤️ barang sampai dengan amaan & lengkap. Barang Original dan juga packing sangat safety. Sukses terus 🥰,5,2022-06-03 00:58
putra_sembada,iphone 7 Plus 256 GB Second Original,,4,2022-06-03 00:54
s*****a,IPHONE 11 PRO 256 GB SECOND ORI FULLSET,,5,2022-06-02 23:34
mtchltxx,iPhone Xr 128 GB Second Original,,5,2022-06-02 19:02
shfrsalsa,iPhone Xr 64 GB Second Original,,5,2022-06-02 11:33
k*****h,iPhone 11 64 GB Second Original,"Pelayanan baik pooool, adminnya ngasih sesuai requestt. Pokoknya bsk kl mau beli hp lagi harus disiniii!! Lebih murah jg dr yg sebelah dg kualitas yg lebih dan pelayanan yg baikk ❤️❤️",5,2022-06-02 10:35
