nama pengguna,produk,review,rating,waktu transaksi
nurindahkhusnulirfani,iPhone XR 128 GB Second ORIGINAL,"Tidak tau harus berkata apa2 lagi. The best banget toko ini🥰 pesen tanggal 15 tanggal 18 udah sampe, padahal dari Sleman - Bogor. Admin juga cepet banget respon chat🤗",5,2022-05-18 11:42
anandasusii,iPhone 6s 32GB Second Original,,5,2022-05-18 09:38
t*****a,iPhone XS 64GB SECOND ORIGINAL,,5,2022-05-18 06:43
t*****a,Asuransi JNE,,5,2022-05-18 06:43
nasruljaelani,iPhone X 256GB SECOND ORIGINAL,Mantap,5,2022-05-17 22:22
gege210393,FAST CHARGING SET ORIGINAL,"Produk original , langsung pakai ok , cas juga cepet , semoga awet , terimakasih admin ,,",5,2022-05-17 16:50
etikacomel_,iPhone 8 64GB SECOND ORIGINAL,,5,2022-05-17 13:37
d*****p,iPhone 8 64GB SECOND ORIGINAL,,5,2022-05-17 10:01
n*****_,iPhone XR 128 GB Second ORIGINAL,,5,2022-05-17 05:28
rakaspoce,FAST CHARGING SET ORIGINAL,,3,2022-05-16 19:31
lutfiannurrohim,iPhone 6 64gb Second,,5,2022-05-16 12:04
ishakhilal75,Headset iPhone lightning untuk iPhone 7/8/X/XS/XR/11/12,,5,2022-05-16 11:54
angelliamayaa_,FAST CHARGING SET ORIGINAL,,5,2022-05-15 17:46
dewarizal_drc,iPhone 6 64gb Second,,5,2022-05-15 17:38
fitrihermanisa2001,iPhone  5s  SECOND ORIGINAL,"Pertama kali beli iphone dan belinya secara online. Disini terpercaya karena adminnya sabar banget dan gercep. Terlebih lagi pengecekan iphonenya secara rinci dan jelas walaupun aku beli online, terjamin ori. Maaf gak punya fotonya karena saya teledor lcd nya udah retak.",5,2022-05-15 17:17
a*****2,Headset iPhone lightning untuk iPhone 7/8/X/XS/XR/11/12,,5,2022-05-15 05:19
c*****u,iPhone XS 256 GB SECOND ORIGINAL,,5,2022-05-14 12:27
hidayati..,Headset iPhone lightning untuk iPhone 7/8/X/XS/XR/11/12,Bagus sekali huhu ngebas banget,5,2022-05-14 11:58
syifazuhri,iPhone XR 128 GB Second ORIGINAL,,5,2022-05-14 11:47
atikaadwias,iPhone 7 128GB SECOND ORIGINAL,"sampe bagus bh nya 100% cuma yaa imei nya kena blokir jadi ga ada layanan huhu 
kak mohon di bantu yaaa 😔😔🫶🏻",4,2022-05-13 12:46
dalsawol,iPhone 6 64gb Second,,5,2022-05-12 22:02
