nama pengguna,produk,review,rating,waktu transaksi
m.junaidi,iPhone 12 64GB/128GB Bekas Original 100% | NORMAL MULUS FULLSET,"Alhamdulillah akhirnya brg dtg jg , Adminnya ramah bgt,  dicariin yg masih mulus sperti baru gak ketahuan brg seken dan BH masih 100% cm pengirimannya lama bgt krn expedisi pengirimannya nya yg sempat tertunda , terima kasih appleHouse n admin super cepat membalas ,  semoga sllu amanah",5,2022-06-01 22:41
i*****3,iPhone 11 Pro 64GB/256GB Bekas Second Original 100% | NORMAL MULUS FULLSET,,5,2022-06-01 22:14
zeniadinda,Transaksi Split Payment,,5,2022-06-01 13:59
rdhchona,AKSESORIS,,5,2022-06-01 13:14
d*****a,iPhone 11 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2022-06-01 12:50
him.aaznka,iPhone 13 128GB/256GB/512GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2022-06-01 06:46
c*****p,Leather Case Silicone For Apple IPhone Original,,5,2022-06-01 04:13
b*****9,iPhone 11 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,Alhamdulillah sudah mendarat dg mulus.. mudah2an awet. Thankyou!,5,2022-05-31 22:31
julianindra123,iPhone 11 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,"Daebak, barang yg dikirim Ok, fisik OK, kamera lancar, jaringan OK, Face ID ok. Seller amanah+sabar banget ngadepin chat kaya saya yg banyak nanya.",5,2022-05-31 13:12
christantosenna,SPLITPAYMENT SEMARANG,,5,2022-05-31 12:44
christantosenna,SPLITPAYMENT SEMARANG,,5,2022-05-31 12:44
lovindahr,iPhone 8 64GB/256GB Bekas Second Original 100% | NORMAL MULUS FULLSET,,5,2022-05-31 12:34
gekanik98,tempered glass for iphone,,4,2022-05-31 12:18
gekanik98,iPhone 7 Plus 32GB/128GB/256GB Bekas Second Original 100% | NORMAL MULUS FULLSET,,4,2022-05-31 12:18
arantikadwifibriana,tempered glass for iphone,Kualitas bagus.,5,2022-05-31 11:53
arantikadwifibriana,iPhone 8 64GB/256GB Bekas Second Original 100% | NORMAL MULUS FULLSET,"Iphone second, tapi masih sangat good condition. Rata-rata BHnya diatas 80%. Pelayanan di toko juga baik. Semoga hp ini awet. Terima kasih.",5,2022-05-31 11:53
r*****1,iPhone XS 64GB/256GB/512GB Bekas Second Original 100% | NORMAL MULUS FULLSET,"Barang original mulus, pengemasan istimewa, admin ramah, sukses selalu appelhouse",5,2022-05-31 07:56
h*****u,iPhone 8 64GB/256GB Bekas Second Original 100% | NORMAL MULUS FULLSET,"Fungsi si normal, tapi byk lecet, terus dus booknya kog ga ada imei nya, bener2 kecewa kali ini, padahal sering bgt aku beli disini baik online maupun offline, udah aku bawelin cerewetin ingetin padahal, tolong kasih aku barang yang terbaik malah kayagini",2,2022-05-31 06:46
a*****r,iPhone 8 64GB/256GB Bekas Second Original 100% | NORMAL MULUS FULLSET,"so far so good gak ada problem apa2, semoga awet lah ya ini hp khusus buat kerjaan",5,2022-05-31 02:50
saniscayaning,Leather Case Silicone For Apple IPhone Original,,5,2022-05-30 17:01
prettythinks,Leather Case Silicone For Apple IPhone Original,,5,2022-05-30 14:22
pjrm_indonesia_cs3,iPhone 7 Plus 32GB/128GB/256GB Bekas Second Original 100% | NORMAL MULUS FULLSET,"Kualitas bagus, packing rapih. Semoga awet",5,2022-05-30 10:30
yudhantisara,AKSESORIS,,5,2022-05-30 05:58
mukhlisalafkar,iPhone 11 Pro Max 64GB/256GB/512GB Bekas Second Original 100% | NORMAL MULUS FULLSET,,5,2022-05-30 02:16
astisulastinl94,iPhone 11 Pro 64GB/256GB Bekas Second Original 100% | NORMAL MULUS FULLSET,,4,2022-05-30 00:32
sariyanisp24,Leather Case Silicone For Apple IPhone Original,,4,2022-05-29 12:45
dewikurniasih012,iPhone 11 Pro Max 64GB/256GB/512GB Bekas Second Original 100% | NORMAL MULUS FULLSET,,1,2022-05-29 12:19
ekomicha,iPhone 8 64GB/256GB Bekas Second Original 100% | NORMAL MULUS FULLSET,,5,2022-05-29 11:31
zhero2713,AKSESORIS,,5,2022-05-29 11:28
rahmatsetiyawaaann,Leather Case Silicone For Apple IPhone Original,,5,2022-05-29 10:49
a*****9,iPhone 11 Pro 64GB/256GB Bekas Second Original 100% | NORMAL Fullset,Baaguuusss,5,2022-05-29 04:24
rezamru,iPhone  XR 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,"Unit bagus dapet yg kemulusan 97%, cuma di pinggir layar ada sedikit goresan, BH dapet 90% tp dipakai semingguan turun 2% jd 88% fungsional sejauh ini aman",4,2022-05-28 12:16
c*****t,iPhone 11 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2022-05-28 11:49
silvianitamu,iPhone  XR 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2022-05-28 11:40
mirnawatiii11,iPhone 8 64GB/256GB Bekas Second Original 100% | NORMAL MULUS FULLSET,,5,2022-05-28 09:40
n.i.e.j.i,iPhone 11 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2022-05-28 09:06
mieakitty,iPhone XS 64GB/256GB/512GB Bekas Second Original 100% | NORMAL MULUS FULLSET,Alhamdulillah dapet yang mulus bngt lecetnya dikit Kesehatan bh 99% bagus bngt rekomend 🥰🥰,5,2022-05-28 08:51
nuningsariningsih02,iPhone 7 32GB/128GB/256GB Bekas Second Original 100% | NORMAL MULUS FULLSET,,4,2022-05-28 06:17
qiumimosapudica_,iPhone  XR 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2022-05-28 05:25
a*****k,iPhone  XR 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,"Barang bagus, packing rapi kayu, dapet BH 97% dan fungsi bagus semua. Thanks min 🥰",5,2022-05-28 04:07
nadiavebryana01,iPhone 11 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,Semua produk bagus dapat bh yang 92% juga,5,2022-05-28 00:52
sherlynova81,iPhone 8 64GB/256GB Bekas Second Original 100% | NORMAL MULUS FULLSET,,5,2022-05-27 17:17
fiyanita,AKSESORIS,,5,2022-05-27 14:48
hifzanrdfa,iPhone 7 32GB/128GB/256GB Bekas Second Original 100% | NORMAL MULUS FULLSET,,5,2022-05-27 14:01
divaartarisa,iPhone 11 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2022-05-27 13:57
yulitarahmah96,iPhone  XR 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2022-05-27 10:18
kaosbagus22,iPhone 11 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,"Suka sama barangnya, bh dpt 91% fisik mayan lah. Tapi yang kecewa signal tidak ada layanan. Sudah di konfirmasi ke claim garansi nya katanya disuruh nunggu 5-14 hari nanti muncul sendiri. Yaudah sabar aja",4,2022-05-27 06:19
arshaka.97,iPhone 11 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2022-05-27 05:42
f*****9,iPhone  XR 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2022-05-27 04:29
s*****a,iPhone 11 Pro 64GB/256GB Bekas Second Original 100% | NORMAL MULUS FULLSET,"alhamdulillah order kedua kalinya, packingnya super aman.",4,2022-05-27 04:16
sellaaugita,iPhone 13 128GB/256GB/512GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2022-05-27 03:34
yulianaindri91,Leather Case Silicone For Apple IPhone Original,,5,2022-05-26 21:38
n*****m,iPhone 7 32GB/128GB/256GB Bekas Second Original 100% | NORMAL MULUS FULLSET,"good condition walapun ada lecet di pojok kanan kiri atas, tapi overall semuanya bagus. minta jetblack dikasih rosegold tp ga masalah buat aku. terimakasih🤍",5,2022-05-26 10:58
a*****h,iPhone  XR 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,"Dari fisk, 95% cuma layarnya agak baret2 tp its okay, dapet batre health 88% udh bagus, tp baru pemakaian 1 hari udh turun jd 87%",4,2022-05-26 10:26
n*****i,Leather Case Silicone For Apple IPhone Original,,5,2022-05-26 08:52
v*****r,iPhone XS 64GB/256GB/512GB Bekas Second Original 100% | NORMAL MULUS FULLSET,Bagus,5,2022-05-26 03:42
kadoin.waetmg,iPhone XS 64GB/256GB/512GB Bekas Second Original 100% | NORMAL MULUS FULLSET,mantulll bgt ya hpnya mantul mantul pokoknya sesua bgt . . . .,5,2022-05-26 03:06
azmi_bz,iPhone X 64GB/256GB Bekas Second Original 100% | NORMAL MULUS FULLSET,,5,2022-05-25 13:45
aryarochmansyah,iPhone 12 ProMax 128GB/256GB/512GB Bekas Original 100% | NORMAL MULUS FULLSET,"Untuk keseluruhan masih mulus dan berfungsi secara normal. Cuman kemarin saya req yg BH diatas 90% tpi dapetnya 87, ya mungkin karena stock nya tinggal ini jadi gapapa deh. Manteb semua nya 👍",4,2022-05-25 12:12
aryarochmansyah,tempered glass for iphone,,5,2022-05-25 12:12
c*****e,iPhone 11 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,Ga ada foto karna barang langsung diambil pemesan. Tapi sejauh ini g ada komplain. Terima kasih kak admin,4,2022-05-25 11:52
nf.anaa,iPhone X 64GB/256GB Bekas Second Original 100% | NORMAL MULUS FULLSET,"Barangnya cepet sampaaai.. bagus mulus, sesuai deskripsi dan permintaan. Sellernya juga baik..
Tp Belum ada seminggu bh sudah turun kakaaa 🥲 dari 92% jadi 89%.",4,2022-05-25 08:44
r*****7,iPhone XS 64GB/256GB/512GB Bekas Second Original 100% | NORMAL MULUS FULLSET,,4,2022-05-25 05:37
byrifaarofifah,iPhone 12 Pro 128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,,4,2022-05-25 00:40
kumans7,iPhone  XR 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2022-05-25 00:35
indy2493,iPhone 11 Pro 64GB/256GB Bekas Second Original 100% | NORMAL MULUS FULLSET,,5,2022-05-24 23:59
scaniakb0132,Leather Case Silicone For Apple IPhone Original,,5,2022-05-24 10:17
asdarpratama1,Iphone 13 Pro 128GB/ 256GB/ 512GB BEKAS ORIGINAL 100% | NORMAL FULLSET,,5,2022-05-24 00:08
tegardwiwijayanto,Leather Case Silicone For Apple IPhone Original,,5,2022-05-23 14:10
mivtharizka,iPhone 8 64GB/256GB Bekas Second Original 100% | NORMAL MULUS FULLSET,,5,2022-05-23 10:25
floriskash__,iPhone 11 Pro Max 64GB/256GB/512GB Bekas Second Original 100% | NORMAL MULUS FULLSET,,5,2022-05-23 04:42
izzulfikri95,SPLITPAYMENT AJA,,5,2022-05-23 01:59
holyyholyy,iPhone 11 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,,4,2022-05-22 17:34
riski.kardila,Leather Case Silicone For Apple IPhone Original,,5,2022-05-22 14:47
by.ra,Leather Case Silicone For Apple IPhone Original,,5,2022-05-22 10:31
fahmilaurtner,iPhone 11 64GB/128GB/256GB Bekas Original 100% | NORMAL MULUS FULLSET,,5,2022-05-22 10:27
wahyuni9611,AKSESORIS,,5,2022-05-22 07:44
larasandar,AKSESORIS,Manteppp sekaliiiii,5,2022-05-22 04:37
faridnuggroho,Leather Case Silicone For Apple IPhone Original,Barangnya bagus2 top,5,2022-05-22 00:06
l*****4,iPhone X 64GB/256GB Bekas Second Original 100% | NORMAL MULUS FULLSET,,5,2022-05-21 16:44
sariyn02,Leather Case Silicone For Apple IPhone Original,,5,2022-05-21 13:22
